Rank,Name,Net Worth,Age,Source,Country of Citizenship
491,Nevaldo Rocha & family,2.5,83,retail,Brazil
491,"David Rockefeller, Sr.",2.5,96,"Standard Oil, banking",United States
491,Eliseo Alexandre Soares dos Santos & family,2.5,77,retail,Portugal
491,Zygmunt Solorz-Zak,2.5,55,TV broadcasting,Poland
491,Ronda Stryker,2.5,57,medical technology,United States
491,Alfred Taubman,2.5,88,real estate,United States
491,Steve Wynn,2.5,70,"casinos, hotels",United States
491,Hiroshi Yamauchi,2.5,84,Nintendo,Japan
491,Michael Ying,2.5,62,retail,Hong Kong
521,Thomas Bruch,2.4,61,food retailing,Germany
521,Clive Calder,2.4,65,record label,United Kingdom
521,Mark Coombs,2.4,51,finance,United Kingdom
521,John Doerr,2.4,60,venture capital,United States
521,John Dorrance III,2.4,68,Campbell Soup,Ireland
521,Philippe Foriel-Destezet,2.4,76,temp agency,France
521,Alexander Frolov,2.4,47,"mining, steel",Russia
521,Adi Godrej & family,2.4,69,diversified,India
521,Jamshyd Godrej,2.4,63,Diversified,India
521,Tom Gores,2.4,47,private equity,United States
521,Guangchang Guo,2.4,45,diversified,China
521,"Amos Hostetter, Jr.",2.4,75,cable television,United States
521,Zarakh Iliev,2.4,45,real estate,Russia
521,Michael & Marian Ilitch & family,2.4,82,pizza,United States
521,Randal Kirk,2.4,58,pharmaceuticals,United States
521,Rishad Naoroji,2.4,60,Diversified,India
521,God Nisanov,2.4,39,real estate,Russia
521,Viktor Nusenkis,2.4,58,"coal, metallurgy",Russia
521,Tor Peterson,2.4,47,Glencore International,United States
521,Sebastian Pinera,2.4,62,Investments,Chile
521,James Ratcliffe,2.4,59,chemicals,United Kingdom
521,Phillip Ruffin,2.4,77,"casinos, real estate",United States
521,Moise Safra,2.4,77,banking,Brazil
521,Filiz Sahenk,2.4,45,"bank, media",Turkey
521,Ty Warner,2.4,68,Beanie Babies,United States
546,Othman Benjelloun,2.3,79,"banking, insurance",Morocco
546,Angela Bennett & Michael Wright,2.3,-,Mining,Australia
546,Nicolas Berggruen,2.3,50,investments,United States
546,Chan Laiwa & family,2.3,71,real estate,China
546,Francis Choi,2.3,64,real estate,Hong Kong
546,Mark Cuban,2.3,53,online media,United States
546,"Edward DeBartolo, Jr.",2.3,65,shopping centers,United States
546,Israel Englander,2.3,63,hedge funds,United States
546,Doris Fisher,2.3,80,Gap,United States
546,Robert Friedland,2.3,61,mining,United States
546,Phillip Frost,2.3,75,pharmaceuticals,United States
546,"William Randolph Hearst, III.",2.3,62,Hearst Corp,United States
546,Daniela Herz,2.3,58,coffee,Germany
546,H. Wayne Huizenga,2.3,74,investments,United States
546,Vyacheslav Kantor,2.3,58,"fertilizer, real estate",Russia
546,Min Kao,2.3,63,navigation equipment,United States
546,Peter Kellogg,2.3,69,investments,United States
546,Li Shuirong,2.3,55,petrochemicals,China
546,Mary Alice Dorrance Malone,2.3,62,Campbell Soup,United States
546,Sergio Mantegazza,2.3,84,travel,Switzerland
546,Bernard Marcus,2.3,82,Home Depot,United States
546,Michael Milken,2.3,65,investments,United States
546,A. Jerrold Perenchio,2.3,81,television,United States
546,Richard Rainwater,2.3,67,"real estate, energy, insurance",United States
546,Hans Riegel,2.3,89,candy,Germany
546,Michael & Rainer Schmidt-Ruthenbeck,2.3,-,retail,Germany
546,Sarik Tara,2.3,81,Construction,Turkey
546,Andreas von Bechtolsheim,2.3,56,Google,Germany
546,Kelcy Warren,2.3,56,Pipelines,United States
546,Wei Jianjun & family,2.3,48,Automobiles,China
546,Aloys Wobben,2.3,60,wind energy,Germany
546,Mortimer Zuckerman,2.3,74,"real estate, media",United States
578,Mohammed Al Issa,2.2,87,investments,Saudi Arabia
578,Abdullah Al Rajhi,2.2,-,banking,Saudi Arabia
578,Anthony Bamford & family,2.2,66,construction equipment,United Kingdom
578,Chen Jianhua,2.2,41,chemicals,China
578,Jack Dangermond,2.2,66,mapping software,United States
578,Edson de Godoy Bueno,2.2,68,healthcare,Brazil
578,Maria de Lourdes Egydio Villela,2.2,-,banking,Brazil
578,Bill Gross,2.2,67,investments,United States
578,Achmad Hamami & family,2.2,81,Heavy Equipment,Indonesia
578,Henry Hillman,2.2,93,investments,United States
578,Eduardo Hochschild,2.2,48,"Inherited, Mining",Peru
578,Indu Jain,2.2,75,media,India
578,Suna Kirac,2.2,70,diversified,Turkey
578,"Herbert Kohler, Jr. & family",2.2,73,plumbing fixtures,United States
578,George Lindemann & family,2.2,76,investments,United States
578,George Mitchell,2.2,92,oil & gas,United States
578,Pankaj Patel,2.2,59,pharmaceuticals,India
578,Thomas Pritzker,2.2,61,"hotels, investments",United States
578,"Wilbur Ross, Jr.",2.2,74,investments,United States
578,Alexandra Schorghuber,2.2,53,real estate,Germany
578,T.Y. Tsai,2.2,-,finance,Taiwan
578,Wang Yusuo & family,2.2,48,Energy,China
578,"William Wrigley, Jr.",2.2,48,chewing gum,United States
601,Ali Ibrahim Agaoglu,2.1,58,construction,Turkey
601,Lee Bass,2.1,55,"oil, investments",United States
601,Sid Bass,2.1,69,"oil, investments",United States
601,Alex Beard,2.1,44,Glencore International,United Kingdom
601,Carlo Benetton,2.1,68,Benetton,Italy
601,Gilberto Benetton,2.1,70,Benetton,Italy
601,Giuliana Benetton,2.1,74,Benetton,Italy
601,Luciano Benetton,2.1,76,Benetton,Italy
601,Bernard Broermann,2.1,68,healthcare,Germany
601,Chey Tae-Won,2.1,51,diversified,South Korea
601,Chu Lam Yiu,2.1,42,flavorings,Hong Kong
601,Richard Elman & family,2.1,72,commodities,United Kingdom
601,Jeff Greene,2.1,57,"real estate, investments",United States
601,Desh Bandhu Gupta,2.1,74,pharmaceuticals,India
601,Hui Lin Chit,2.1,59,Consumer Products,China
601,Ajay Kalsi,2.1,-,oil,India
601,Alicia Koplowitz,2.1,57,construction,Spain
601,Patrick Lee,2.1,70,paper,Hong Kong
601,Alexander Mamut,2.1,52,investments,Russia
601,Ziyad Manasir,2.1,46,construction,Russia
601,Kerr Neilson,2.1,62,Finance,Australia
601,Lirio Parisotto,2.1,58,investments,Brazil
601,Sean Parker,2.1,32,Facebook,United States
601,Rajan Raheja & family,2.1,57,diversified,India
601,J. Christopher Reyes,2.1,58,food distribution,United States
601,Jude Reyes,2.1,56,food distribution,United States
601,"Robert Rich, Jr.",2.1,71,frozen foods,United States
601,Kjell Inge Rokke,2.1,53,"shipping, seafood",Norway
601,"Edward Roski, Jr.",2.1,73,real estate,United States
601,Frederick Smith,2.1,67,FedEx,United States
601,Sze Man Bok,2.1,62,consumer products,China
601,Andrew Tan,2.1,59,diversified,Philippines
601,Zhu Gongshan,2.1,54,solar panel materials,China
634,Juan Abello,2,70,investments,Spain
634,Saif Al Ghurair & family,2,-,diversified,United Arab Emirates
634,Emilio Azcarraga Jean,2,44,media,Mexico
634,Yvonne Bauer & family,2,34,Bauer Media Group,Germany
634,Marc Benioff,2,47,business software,United States
634,Neil Bluhm,2,74,real estate,United States
634,Charles Bronfman,2,80,liquor,Canada
634,John Catsimatidis,2,63,"oil, real estate, supermarkets",United States
634,Silas Chou,2,65,apparel,Hong Kong
634,Leon G. Cooperman,2,68,hedge funds,United States
634,Dulce Pugliese de Godoy Bueno,2,64,health care,Brazil
634,John de Mol,2,57,TV,Netherlands
634,Carlo Fidani,2,57,Real estate,Canada
634,John Fisher,2,50,Gap,United States
634,Jean Claude Gandur,2,63,"oil trading, exploration",Switzerland
634,Gordon Getty,2,78,Getty Oil,United States
634,Esther Grether & family,2,76,"art collection, Swatch",Switzerland
634,Vladimir Gridin & family,2,56,"coal, railway transport",Russia
634,David Hains,2,81,Finance,Australia
634,Antti Herlin,2,55,"elevators, escalators",Finland
634,Alan Howard,2,48,hedge funds,United Kingdom
634,Huang Wei,2,52,real estate,China
634,Stanley Hubbard,2,78,DirecTV,United States
634,Erman Ilicak,2,44,construction,Turkey
634,"Jeremy Jacobs, Sr.",2,72,sports concessions,United States
634,Jerry Jones,2,69,Dallas Cowboys,United States
634,Daryl Katz,2,50,pharmacies,Canada
634,Danil Khachaturov,2,40,"Insurance, banking, real estate",Russia
634,Liu Zhongtian,2,48,metal processors,China
634,Sri Prakash Lohia,2,59,Polyester,Indonesia
634,"Drayton McLane, Jr.",2,75,"Wal-Mart, logistics",United States
634,Elon Musk,2,40,Tesla Motors,United States
634,Shigenobu Nagamori,2,67,micro motors,Japan
634,Martin Naughton,2,72,heating equipment,Ireland
634,Dmitry Pumpyansky,2,48,steel pipes,Russia
634,Carlos Rodriguez-Pastor,2,52,Finance,Peru
634,Eduardo Saverin,2,30,Facebook,Brazil
634,Maria-Elisabeth & Georg Schaeffler,2,-,ball bearings,Germany
634,Monika Schoeller,2,73,publishing,Germany
634,Richard Schulze,2,71,Best Buy,United States
634,Anatoly Sedykh,2,47,steel pipes,Russia
634,Kerry Stokes,2,71,Media,Australia
634,Katsumi Tada,2,66,real estate,Japan
634,Chairul Tanjung,2,49,Diversified,Indonesia
634,Ted Turner,2,73,cable television,United States
634,Stefan von Holtzbrinck,2,48,publishing,Germany
634,Romesh T. Wadhwani,2,64,Software,United States
634,Wong Kwong Yu & family,2,42,Retail-Appliances,China
683,Zdenek Bakala,1.9,51,coal,Czech Republic
683,Mikhail Balakin,1.9,50,construction,Russia
683,David Bonderman,1.9,69,leveraged buyouts,United States
683,Chang Yung Fa & family,1.9,84,transport,Taiwan
683,Phoebe Hearst Cooke,1.9,85,Hearst Corp,United States
683,James Coulter,1.9,52,leveraged buyouts,United States
683,Jim Davis & family,1.9,68,New Balance,United States
683,Gao Dekang & family,1.9,60,apparel,China
683,Roberto Gonzalez Barrera,1.9,81,"banking, tortillas",Mexico
683,Alec Gores,1.9,59,private equity,United States
683,Austin Hearst,1.9,59,Hearst Corp,United States
683,"David Hearst, Jr.",1.9,66,Hearst Corp,United States
683,"George Hearst, Jr.",1.9,84,Hearst Corp,United States
683,Michael Heisley Sr,1.9,75,manufacturing,United States
683,Elie Horn,1.9,66,real estate,Brazil
683,B. Wayne Hughes,1.9,78,self storage,United States
683,Michael Jaharis,1.9,83,pharmaceuticals,United States
683,Andrei Klyamko,1.9,50,steel,Russia
683,Aloke Lohia,1.9,53,Polyester,Thailand
683,Siegfried Meister,1.9,74,Appliances,Germany
683,Minoru Mori,1.9,77,real estate,Japan
683,Vadim Novinsky,1.9,48,steel,Russia
683,Richard Peery,1.9,73,real estate,United States
683,Isaac Perlmutter,1.9,69,Marvel,United States
683,Jean (Gigi) Pritzker,1.9,50,"hotels, investments",United States
683,G. M. Rao,1.9,61,infrastructure,India
683,"Enrique Razon, Jr.",1.9,52,ports,Philippines
683,Shin Chang-Jae,1.9,58,insurance,South Korea
683,Gil Shwed,1.9,44,software,Israel
683,Sheldon Solow,1.9,83,real estate,United States
683,Sylvia Stroher,1.9,57,cosmetics,Germany
683,Yitzhak Tshuva,1.9,63,real estate,Israel
683,Albert Ueltschi,1.9,94,FlightSafety,United States
683,Georg von Opel,1.9,45,real estate/investments,Germany
683,Wang Chuanfu,1.9,46,Automobile,China
683,Zhang Hongwei,1.9,57,diversified,China
719,Alexei Ananyev,1.8,47,"banking, IT, real estate",Russia
719,Dmitry Ananyev,1.8,43,"banking, IT, real estate",Russia
719,George Argyros,1.8,75,"real estate, investments",United States
719,John Arrillaga,1.8,74,real estate,United States
719,Ayman Asfari,1.8,53,oil services,United Kingdom
719,Rahul Bajaj,1.8,73,motorcycles,India
719,Subhash Chandra,1.8,61,media,India
719,Jason Chang,1.8,-,electronics,Taiwan
719,Chao Teng-Hsiung,1.8,68,real estate,Taiwan
719,Alfred James Clark,1.8,84,construction,United States
719,Ralph Dommermuth,1.8,48,internet service provider,Germany
719,Bennett Dorrance,1.8,66,Campbell Soup,United States
719,Alexander Dzhaparidze,1.8,56,oil services,Russia
719,Eduardo Eurnekian,1.8,78,"cable tv, agriculture",Argentina
719,Jayme Garfinkel & family,1.8,65,insurance,Brazil
719,Reid Hoffman,1.8,44,LinkedIn,United States
719,Thomas Kaplan,1.8,49,Investments,United States
719,Igor Kesaev,1.8,45,"tobacco distribution, retail",Russia
719,Koo Bon-Moo,1.8,67,LG,South Korea
719,Lev Kvetnoi,1.8,46,"cement, airport",Russia
719,Clayton Mathile,1.8,71,pet food,United States
719,Rubens Menin Teixeira de Souza,1.8,56,homebuilding,Brazil
719,Mario Moretti Polegato,1.8,59,shoes,Italy
719,Vadim Moshkovich,1.8,44,"agriculture, development",Russia
719,Kazuo Okada & family,1.8,69,gaming,Japan
719,Mark Pincus,1.8,46,online gaming,United States
719,John Pritzker,1.8,59,"hotels, investments",United States
719,Penny Pritzker,1.8,52,"hotels, investments",United States
719,Leandro Rizzuto,1.8,73,consumer products,United States
719,Henry Samueli,1.8,57,semiconductors,United States
719,"Walter Scott, Jr.",1.8,80,"construction, telecom",United States
719,Shi Yuzhu,1.8,49,diversified,China
719,Shin Dong-Bin,1.8,57,retail,South Korea
719,Thomas Siebel,1.8,59,business software,United States
719,Herbert Simon,1.8,77,real estate,United States
719,Anatoly Skurov,1.8,59,"coal, fertilisers",Russia
719,Michal Solowow,1.8,49,investments,Poland
719,Lawrence Stroll,1.8,52,Retail,Canada
719,Glen Taylor,1.8,70,printing,United States
719,Dean White,1.8,88,"billboards, hotels",United States
719,Kamil Yazici,1.8,83,"beverages, diversified",Turkey
719,Zhang Zhidong,1.8,40,internet,China
719,Kostyantin Zhevago,1.8,38,"banking, mining",Ukraine
719,Zhu Yicai,1.8,47,diversified,China
719,Anita Zucker,1.8,60,chemicals,United States
764,S. Daniel Abraham,1.7,87,Slim-Fast,United States
764,Joao Alves de Queiroz Filho,1.7,59,consumer goods,Brazil
764,Kiki Barki,1.7,72,Coal,Indonesia
764,Glenn Dubin,1.7,54,hedge funds,United States
764,Judy Faulkner,1.7,68,health IT,United States
764,Ken Fisher,1.7,61,Money management,United States
764,Gerald J. Ford,1.7,67,banking,United States
764,Gong Hongjia & family,1.7,47,electronics,Hong Kong
764,Saad Hariri,1.7,41,"construction, investments",Lebanon
764,Hawken Xiu Li,1.7,49,real estate,United Kingdom
764,Huang Yi,1.7,50,auto distribution,Hong Kong
764,Saleh Kamel,1.7,70,diversified,Saudi Arabia
764,Brad Kelley,1.7,55,tobacco,United States
764,Robert Kraft,1.7,70,New England Patriots,United States
764,Angela Leong,1.7,51,gaming,Hong Kong
764,Lev Leviev,1.7,56,diamonds,Israel
764,Peter Lim,1.7,58,Investments,Singapore
764,Vincent Lo,1.7,63,real estate,Hong Kong
764,Mohamed Mansour,1.7,64,Diversified,Egypt
764,Joe Mansueto,1.7,55,investment research,United States
764,Richard Marriott,1.7,73,hotels,United States
764,Dmitry Mazepin,1.7,43,chemicals,Russia
764,Andrei Molchanov,1.7,40,construction materials,Russia
764,Michael Moritz,1.7,57,venture capital,United States
764,N.R. Narayana Murthy & family,1.7,65,software,India
764,Or Wai Sheun,1.7,60,real estate,Hong Kong
764,Alexander Ponomarenko,1.7,47,port,Russia
764,Daniel Pritzker,1.7,53,"hotels, investments",United States
764,Chandru Raheja,1.7,71,real estate,India
764,Paul Ramsay,1.7,76,Hospitals,Australia
764,Shin Dong-Joo,1.7,58,retail,South Korea
764,Alexander Skorobogatko,1.7,44,port,Russia
764,Jerry Speyer,1.7,71,real estate,United States
764,Woods Staton,1.7,62,"McDonald's restaurants",Colombia
764,Alexander Svetakov,1.7,44,"banking, real estate",Russia
764,Wei Ing-Chou,1.7,59,"food, beverages",Taiwan
764,Wei Yin-Chun,1.7,55,"food, beverages",Taiwan
764,Wei Yin-Heng,1.7,53,"food, beverages",Taiwan
764,Wei Ying-Chiao,1.7,57,"food, beverages",Taiwan
764,John Whittaker,1.7,70,real estate,United Kingdom
804,Aras Agalarov,1.6,56,"retail, real estate",Russia
804,Abdulla Al Futtaim,1.6,-,"auto dealers, investments",United Arab Emirates
804,Bassam Alghanim,1.6,60,diversified,Kuwait
804,Kutayba Alghanim,1.6,66,diversified,Kuwait
804,Igor Altushkin,1.6,41,metals,Russia
804,Vincent Bollore,1.6,59,investments,France
804,Norman Braman,1.6,79,"art, car dealerships",United States
804,"Austen Cargill, II.",1.6,61,Cargill Inc.,United States
804,"James Cargill, II.",1.6,62,Cargill Inc.,United States
804,Jean Coutu,1.6,84,pharmacies,Canada
804,Richard Desmond,1.6,60,publishing,United Kingdom
804,Barry Diller,1.6,70,IAC/InterActiveCorp,United States
804,James Dinan,1.6,52,hedge funds,United States
804,N. Murray Edwards,1.6,52,oil & gas,Canada
804,Lindsay Fox,1.6,74,Logistics,Australia
804,Thomas Friedkin,1.6,76,Toyota distribution,United States
804,Rolf Gerling,1.6,57,insurance,Germany
804,David Gottesman,1.6,85,investments,United States
804,Noam Gottesman,1.6,50,hedge funds,United States
804,Joshua Harris,1.6,47,leveraged buyouts,United States
804,Hans-Werner Hector,1.6,72,SAP,Germany
804,Johnelle Hunt,1.6,80,trucking,United States
804,Vladimir Iorich,1.6,53,"mining, steel",Germany
804,Stephen Jarislowsky,1.6,86,money management,Canada
804,Jiang Bin,1.6,45,electronics,China
804,Samvel Karapetyan,1.6,46,development,Russia
804,Valery Kogan,1.6,61,airport,Russia
804,Esther Koplowitz,1.6,58,construction,Spain
804,Guilherme Peirao Leal,1.6,61,cosmetics,Brazil
804,Lee Myung-Hee,1.6,68,retail,South Korea
804,Li Sze Lim,1.6,55,real estate,Hong Kong
804,Marianne Liebmann,1.6,58,"Cargill, Inc.",United States
804,Gary Magness,1.6,58,"cable, investments",United States
804,Yasseen Mansour,1.6,50,diversified,Egypt
804,"Bill Marriott, Jr.",1.6,80,hotels,United States
804,Craig McCaw,1.6,62,telecom,United States
804,Florentino Perez,1.6,65,construction,Spain
804,Linda Pritzker,1.6,58,"hotels, investments",United States
804,Anas Sefrioui,1.6,54,Real estate,Morocco
804,Shen Guojun,1.6,49,retail,China
804,Kavitark Ram Shriram,1.6,55,"Venture capital, Google",United States
804,Song Zuowen,1.6,65,diversified,China
804,"Clemmie Spangler, Jr.",1.6,79,investments,United States
804,Tong Jinquan,1.6,57,real estate,China
804,Martin Viessmann,1.6,58,heating equipment,Germany
804,Wang Muqing & family,1.6,61,auto Distribution,China
804,Arne Wilhelmsen & family,1.6,81,Royal Caribbean,Norway
804,Jacky Xu,1.6,-,apparel,St. Kitts and Nevis
804,Zhang Li,1.6,59,real estate,China
804,Zhou Furen,1.6,54,diversified,China
854,Mohammed Al Rajhi & family,1.5,-,banking,Saudi Arabia
854,Nadhmi Auchi,1.5,74,real estate,United Kingdom
854,Enrique Banuelos,1.5,46,real estate,Spain
854,Ron Baron,1.5,68,money managment,United States
854,Edward Bass,1.5,67,"oil, investments",United States
854,Steve Case,1.5,53,AOL,United States
854,Christopher Cline,1.5,54,coal,United States
854,Ray Davis,1.5,70,pipelines,United States
854,Dermot Desmond,1.5,61,finance,Ireland
854,Tilman Fertitta,1.5,54,hospitality,United States
854,Soichiro Fukutake,1.5,66,education,Japan
854,Daniel Gilbert,1.5,50,Quicken Loans,United States
854,Mitchell Goldhar,1.5,51,Real estate,Canada
854,Tom Golisano,1.5,70,Paychex,United States
854,Senapathy Gopalakrishnan & family,1.5,56,software,India
854,"Joe Jamail, Jr.",1.5,86,lawsuits,United States
854,Bruce Karsh,1.5,57,money management,United States
854,Kenneth Langone,1.5,76,investments,United States
854,Li Shufu,1.5,48,automobiles,China
854,Liao Long-Shing,1.5,-,petrochemicals,Taiwan
854,Suhon Lin,1.5,84,petrochemicals,Taiwan
854,Niels Peter Louis-Hansen,1.5,64,medical devices,Denmark
854,Ma Xingtian & family,1.5,43,pharmaceuticals,China
854,Igor Makarov,1.5,49,gas,Russia
854,"Stephen Mandel, Jr.",1.5,56,hedge funds,United States
854,Youssef Mansour,1.5,66,diversified,Egypt
854,Howard Marks,1.5,65,money management,United States
854,Robert McNair,1.5,75,"energy, sports",United States
854,Hans Melchers,1.5,73,"chemicals, investments",Netherlands
854,Robert Miller,1.5,-,retail,United Kingdom
854,Manuel Moroun & family,1.5,84,Transportation,United States
854,Zelimkhan Mutsoev,1.5,52,"fertilizers, real estate",Russia
854,Jonathan Nelson,1.5,55,Leveraged buyouts,United States
854,Gabe Newell,1.5,49,Valve Corporation,United States
854,Vikas Oberoi,1.5,41,real estate,India
854,Bob Parsons,1.5,61,web hosting,United States
854,Dinu Patriciu,1.5,61,"oil, real estate, retail",Romania
854,Robert Pera,1.5,34,Ubiquiti Networks,United States
854,Jose Isaac Peres,1.5,70,shopping centers,Brazil
854,Gregorio Perez Companc,1.5,77,food products,Argentina
854,Stanley Perron,1.5,89,Real Estate,Australia
854,Murdaya Poo,1.5,71,Diversified,Indonesia
854,Michael Price,1.5,59,investments,United States
854,James Pritzker,1.5,60,"hotels, investments",United States
854,Marc Rowan,1.5,50,leveraged buyouts,United States
854,Howard Schultz,1.5,58,Starbucks,United States
854,Shen Wenrong,1.5,66,Steel,China
854,Sit Kwong Lam,1.5,44,oil transportation,Hong Kong
854,Donald Sterling,1.5,76,Real Estate,United States
854,Pat Stryker,1.5,55,medical technology,United States
854,Suh Kyung-Bae,1.5,49,cosmetics,South Korea
854,Roustam Tariko,1.5,50,banking,Russia
854,Peter Thiel,1.5,44,"Paypal, Facebook",United States
854,Tiong Hiew King,1.5,77,timber,Malaysia
854,Wilma Tisch,1.5,84,diversified,United States
854,Tseng Shin-yi,1.5,84,petrochemicals,Taiwan
854,Bulat Utemuratov,1.5,-,"Mining, banking, hotels",Kazakhstan
854,Albert von Thurn und Taxis,1.5,28,diversified,Germany
854,Zan Shengda,1.5,48,diversified,China
913,Lina Maria Aguiar,1.4,-,banking,Brazil
913,"Herbert Allen, Jr. & family",1.4,72,investment banking,United States
913,Andrej Babis,1.4,57,agriculture,Czech Republic
913,Louis Bacon,1.4,53,hedge funds,United States
913,Stephen Bisciotti,1.4,51,"outsourcing, football",United States
913,Arthur Blank,1.4,69,Home Depot,United States
913,Gary Burrell,1.4,74,navigation equipment,United States
913,William Connor II,1.4,62,sourcing,United States
913,Scott Cook,1.4,59,Intuit,United States
913,Joseph Craft III & family,1.4,61,coal,United States
913,Bharat Desai & family,1.4,59,outsourcing,United States
913,Carlos Hank Rhon & family,1.4,64,banking,Mexico
913,Michael Hintze,1.4,58,Finance,Australia
913,James Irsay,1.4,52,Indianapolis Colts,United States
913,Irwin Jacobs,1.4,78,Qualcomm,United States
913,Ryoichi Jinnai,1.4,85,"consumer lending, agriculture",Japan
913,Kim Tack-Jin,1.4,45,online gaming,South Korea
913,Alexander Knaster,1.4,53,"oil, telecom, banking",United States
913,Thomas Lee,1.4,67,leveraged buyouts,United States
913,Li Li,1.4,48,pharmaceuticals,China
913,Lin Li,1.4,48,investments,China
913,Lu Xiangyang,1.4,49,"Automobile, Investment",China
913,Billy Joe (Red) McCombs,1.4,84,"radio, oil, real estate",United States
913,Gary Michelson,1.4,63,medical patents,United States
913,"Henry Nicholas, III.",1.4,52,semiconductors,United States
913,Nandan Nilekani & family,1.4,56,software,India
913,Tuncay Ozilhan,1.4,64,"beverages, diversified",Turkey
913,"Henry Ross Perot, Jr.",1.4,53,"computer services, real estate",United States
913,T. Boone Pickens,1.4,83,"oil & gas, investments",United States
913,Ajay Piramal,1.4,56,pharmaceuticals,India
913,K. Anji Reddy,1.4,70,pharmaceuticals,India
913,Evgeny (Eugene) Shvidler,1.4,48,"oil & gas, investments",United States
913,Edwin Soeryadjaya,1.4,63,Coal,Indonesia
913,Helmut Sohmen,1.4,72,shipping,Austria
913,Ralph Sonnenberg,1.4,77,blinds,Netherlands
913,Gautam Thapar,1.4,51,"engineering, paper",India
913,Mustafa Latif Topbas,1.4,68,"food manufacturing, retail",Turkey
913,Meg Whitman,1.4,55,Ebay,United States
913,Dan Wilks,1.4,55,natural gas,United States
913,Farris Wilks,1.4,60,natural gas,United States
913,Wong Luen Hei,1.4,50,diversified,China
913,Wu Yiling & family,1.4,62,pharmaceuticals,China
913,Elaine Wynn,1.4,68,Hotels,United States
913,Xiong Xuqiang & family,1.4,55,Real Estate,Hong Kong
913,Zhong Sheng Jian,1.4,54,Real Estate,Singapore
913,Zhu Xingliang,1.4,52,interior decorating,China
913,Ahmet Nazif Zorlu,1.4,67,diversified,Turkey
960,Mikhail Abyzov,1.3,39,"power, power engineering",Russia
960,Mohamed Al Fayed,1.3,79,retailing,Egypt
960,Edmund Ansin,1.3,76,television,United States
960,Roman Avdeev,1.3,44,"banking, development",Russia
960,Julio Bozano,1.3,76,banking,Brazil
960,Charles Brandes,1.3,69,money management,United States
960,Hubert Burda,1.3,72,publishing,Germany
960,Ahmet Calik,1.3,54,"energy, media, banking",Turkey
960,S. Truett Cathy,1.3,91,Chick-fil-A,United States
960,Leon Charney,1.3,70,Real estate,United States
960,Che Jianxin,1.3,45,retail,China
960,David Cheriton,1.3,60,Google,Canada
960,Eduardo Cojuangco,1.3,76,food & drinks,Philippines
960,Peter Cruddas,1.3,58,financial services,United Kingdom
960,Leszek Czarnecki,1.3,50,finance,Poland
960,Venugopal Dhoot,1.3,60,electronics,India
960,Ennio Doris & family,1.3,71,insurance,Italy
960,David Duffield,1.3,71,PeopleSoft,United States
960,Gleb Fetisov,1.3,45,"telecom, finance",Russia
960,Andrei Filatov,1.3,40,"ports, railway transport",Russia
960,David Filo,1.3,45,Yahoo,United States
960,William Fisher,1.3,54,Gap,United States
960,Reinold Geiger,1.3,64,beauty products,Austria
960,Christopher Goldsbury,1.3,69,salsa,United States
960,Konstantin Grigorishin,1.3,46,Power engineering,Russia
960,David Harding,1.3,50,Finance,United Kingdom
960,Peter Hargreaves,1.3,65,financial services,United Kingdom
960,Ayman Hariri,1.3,33,"construction, investments",Lebanon
960,Fahd Hariri,1.3,31,"construction, investments",Lebanon
960,Roberto Hernandez Ramirez,1.3,70,banking,Mexico
960,Ingeburg Herz,1.3,90,coffee,Germany
960,Douglas Hsu,1.3,69,diversified,Taiwan
960,Huang Zelan,1.3,56,metals,China
960,Ali Metin Kazanci,1.3,77,energy,Turkey
960,Vinod Khosla,1.3,57,venture capital,United States
960,Yuriy Kosiuk,1.3,43,agriculture,Ukraine
960,Marc Lasry,1.3,51,hedge funds,United States
960,Richard Li,1.3,45,telecom,Hong Kong
960,Nikita Mishin,1.3,40,"ports, railway transport",Russia
960,Konstantin Nikolaev,1.3,41,"ports, railway transport",Russia
960,Ahsen Ozokur,1.3,61,food manufacturing,Turkey
960,Nicholas Pritzker II,1.3,68,"hotels, investments",United States
960,Stewart Rahr,1.3,66,drug distribution,United States
960,Deniz Sahenk,1.3,66,"bank, media",Turkey
960,Richard Scaife,1.3,79,investments,United States
960,Brij Bhushan Singal,1.3,75,steel,India
960,Thomas Steyer,1.3,54,hedge funds,United States
960,Tahir,1.3,60,Diversified,Indonesia
960,Hary Tanoesoedibjo,1.3,46,Media,Indonesia
960,Peter Unger,1.3,67,auto repair,Germany
960,Joop van den Ende,1.3,70,TV,Netherlands
960,Chris Wallin,1.3,-,Coal,Australia
960,Yu Peidi & family,1.3,52,real estate,Hong Kong
1014,Leonard Buckeridge,1.25,76,Construction,Australia
1015,Fawzi Al-Kharafi,1.2,-,Diversified,Kuwait
1015,Jassim Al-Kharafi,1.2,-,Diversfied,Kuwait
1015,Mohannad Al-Kharafi,1.2,-,Diversified,Kuwait
1015,Roberto Angelini Rossi,1.2,63,"mining, forestry",Chile
1015,John Brown,1.2,77,Stryker Corp.,United States
1015,Alan Casden,1.2,66,real estate,United States
1015,Maria Ines de Lafuente Lacroze,1.2,67,inherited,Argentina
1015,Diego Della Valle,1.2,58,retail,Italy
1015,Bulent Eczacibasi,1.2,62,"pharmaceuticals, diversified",Turkey
1015,Robert Fisher,1.2,58,Gap,United States
1015,William Ford Sr,1.2,87,Ford Motor Co,United States
